Type;Fellesnavn;Fritekst;Adresse;Skudd;Siste skudd;Skudd siden plassering;Dato for flytting;Eier
Smart Pipe 250;A86D-WT250-16013532;#KC Stav anger Kommune Av løp;Christian IVs gt ;0.0;22/08‐19  10:40;133;29/01‐18;Egen
Smart Pipe 250;A86D-WT250-16013630;#KC Stav anger Kommune Av løp;Per Siv les v ei ;0.0;04/09‐19  02:00;685;04/09‐17;Egen
Smart Pipe 250;A86D-WT250-16013794;#KC Stav anger Kommune Av løp;Steingata ;0.0;07/08‐19  21:47;442;25/09‐17;Egen
Smart Pipe 250;A86D-WT250-16013796;#KC Stav anger Kommune Av løp;Rebakken ;0.0;23/08‐19  04:41;26;20/11‐17;Egen
Smart Pipe 250;A86D-WT250-16014722(JEL);#KC Stav anger Kommune Av løp;Fjeldehagen ;0.0;22/08‐19  16:08;29;19/04‐18;Egen
Smart Pipe 250;A86D-WT250-16014777(JEL);#KC Stav anger Kommune Av løp;Slettmy ra ;0.0;04/08‐19  04:34;67;13/08‐18;Egen
Smart Pipe 250;A86D-WT250-16015199(JEL);#KC Stav anger Kommune Av løp;Gjøstein Gate ;0.0;19/08‐19  18:14;535;07/05‐18;Egen
Smart Pipe 250;A86D-WT250-16015202(JEL);#KC Stav anger Kommune Av løp;Olsokv eien ;0.0;26/08‐19  03:30;235;23/04‐18;Egen
Smart Pipe 250;A86D-WT250-16200075(JEL);#KC Stav anger Kommune Av løp;Møllegata ;0.0;31/03‐19  13:11;7;19/02‐19;Egen
Smart Pipe 250;A86D-WT300-16001199(JEL);#KC Stav anger Kommune Av løp;Kongsteinsgata ;0.0;30/08‐19  15:30;221;19/03‐18;Egen
Smart Pipe 250;A86R-WT250-16014729;#KC Stav anger Kommune Av løp;;0.0;29/04‐19  22:48;0;22/07‐19;Egen
Smart Pipe 200;A86D-WT200-16013292(JEL);#KC Stav anger KommuneAv løp;Øv re Strandgate ;0;02/09‐19  03:09;166;13/08‐18;Egen
